Node label	Matching Sequences
	OmyJC19ROGR_0186a
	OmyJC19ROGR_0099a
	OmyJC19ROGR_0107a
	OmyJC19ROGR_0115a
	OmyJC19ROGR_0115b
	OmyJC19ROGR_0123a
	OmyJC19ROGR_0147a
	OmyJC19ROGR_0155a
	OmyJC19ROGR_0171b
	OmyJC19ROGR_0187b
	OmyJC19ROGR_0124a
	OmyJC19ROGR_0156a
	OmyJC19ROGR_0188a
	OmyJC19ROGR_0188b
	OmyJC19ROGR_0117a
	OmyJC19ROGR_0125a
	OmyJC19ROGR_0125b
	OmyJC19ROGR_0133a
	OmyJC19ROGR_0149a
	OmyJC19ROGR_0157a
	OmyJC19ROGR_0118a
	OmyJC19ROGR_0126a
	OmyJC19ROGR_0134a
	OmyJC19ROGR_0150a
	OmyJC19ROGR_0150b
	OmyJC19ROGR_0182a
	OmyJC19ROGR_0182b
	OmyAC19ROGR_5625a
	OmyAC19ROGR_5751a
	OmyAC19ROGR_5820a
	OmyAC19ROGR_5844a
	OmyAC19ROGR_5987a
	OmyAC19ROGR_5987b
	OmyAC19ROGR_6039a
	OmyAC19ROGR_5626a
	OmyAC19ROGR_5626b
	OmyAC19ROGR_5721a
	OmyAC19ROGR_5823b
	OmyAC19ROGR_5845b
	OmyAC19ROGR_5992a
	OmyAC19ROGR_5846a
	OmyAC19ROGR_5846b
	OmyAC19ROGR_5628a
	OmyAC19ROGR_5723a
	OmyAC19ROGR_5814a
	OmyAC19ROGR_5814b
	OmyAC19ROGR_5997a
	OmyAC19ROGR_5997b
	OmyAC19ROGR_5699a
	OmyAC19ROGR_5766a
	OmyAC19ROGR_5816a
	OmyAC19ROGR_6016a
	OmyAC19ROGR_6128a
	OmyAC19ROGR_6128b
	OmyAC19ROGR_5470a
	OmyAC19ROGR_5711a
	OmyAC19ROGR_5779a
	OmyAC19ROGR_5817a
	OmyAC19ROGR_5817b
	OmyAC19ROGR_5840a
	OmyAC19ROGR_5840b
	OmyAC19ROGR_5913a
	OmyAC19ROGR_5742a
	OmyAC19ROGR_5808a
	OmyAC19ROGR_5713a
	OmyAC19ROGR_5713b
	OmyAC19ROGR_5809a
	OmyAC19ROGR_5809b
	OmyAC19ROGR_5961a
	OmyAC19ROGR_6033a
	OmyAC19ROGR_0053a
	OmyJC18ROGR_0117a
	OmyJC18ROGR_0149a
	OmyJC18ROGR_0204a
	OmyJC18ROGR_0220a
	OmyJC18ROGR_0236a
	OmyJC18ROGR_0102a
	OmyJC18ROGR_0110a
	OmyJC18ROGR_0110b
	OmyJC18ROGR_0118a
	OmyJC18ROGR_0118b
	OmyJC18ROGR_0126a
	OmyJC18ROGR_0126b
	OmyJC18ROGR_0134a
	OmyJC18ROGR_0205a
	OmyJC18ROGR_0205b
	OmyJC18ROGR_0213a
	OmyJC18ROGR_0221a
	OmyJC18ROGR_0221b
	OmyJC18ROGR_0229a
	OmyJC18ROGR_0237a
	OmyJC18ROGR_0237b
	OmyJC18ROGR_0103a
	OmyJC18ROGR_0135a
	OmyJC18ROGR_0143a
	OmyJC18ROGR_0143b
	OmyJC18ROGR_0222a
	OmyJC18ROGR_0222b
	OmyJC18ROGR_0238a
	OmyJC18ROGR_0238b
	OmyJC18ROGR_0104a
	OmyJC18ROGR_0112a
	OmyJC18ROGR_0128a
	OmyJC18ROGR_0128b
	OmyJC18ROGR_0136a
	OmyJC18ROGR_0144a
	OmyJC18ROGR_0152a
	OmyJC18ROGR_0215a
	OmyJC18ROGR_0231a
	OmyJC18ROGR_0231b
	OmyJC18ROGR_0105a
	OmyJC18ROGR_0121a
	OmyJC18ROGR_0145a
	OmyJC18ROGR_0216a
	OmyJC18ROGR_0216b
	OmyJC18ROGR_0224a
	OmyJC18ROGR_0240a
	OmyJC18ROGR_0106a
	OmyJC18ROGR_0114a
	OmyJC18ROGR_0122a
	OmyJC18ROGR_0201a
	OmyJC18ROGR_0225a
	OmyJC18ROGR_0225b
	OmyJC18ROGR_0233b
	OmyJC18ROGR_0202a
	OmyJC18ROGR_0202b
	OmyJC18ROGR_0218a
	OmyJC18ROGR_0226a
	OmyJC18ROGR_0140a
	OmyJC18ROGR_0140b
	OmyJC18ROGR_0203a
	OmyJC18ROGR_0211a
	OmyJC18ROGR_0219b
	OmyJC18ROGR_0227a
	OmyJC18ROGR_0242a
	OmyJC18ROGR_0305a
	OmyJC18ROGR_0313a
	OmyJC18ROGR_0321a
	OmyJC18ROGR_0329a
	OmyJC18ROGR_0345a
	OmyJC18ROGR_0411a
	OmyJC18ROGR_0419a
	OmyJC18ROGR_0243a
	OmyJC18ROGR_0306a
	OmyJC18ROGR_0322a
	OmyJC18ROGR_0330a
	OmyJC18ROGR_0330b
	OmyJC18ROGR_0338a
	OmyJC18ROGR_0338b
	OmyJC18ROGR_0404a
	OmyJC18ROGR_0412a
	OmyJC18ROGR_0412b
	OmyJC18ROGR_0420a
	OmyJC18ROGR_0420b
	OmyJC18ROGR_0244a
	OmyJC18ROGR_0307a
	OmyJC18ROGR_0315a
	OmyJC18ROGR_0323a
	OmyJC18ROGR_0323b
	OmyJC18ROGR_0331a
	OmyJC18ROGR_0245a
	OmyJC18ROGR_0308a
	OmyJC18ROGR_0308b
	OmyJC18ROGR_0324a
	OmyJC18ROGR_0324b
	OmyJC18ROGR_0348a
	OmyJC18ROGR_0356a
	OmyJC18ROGR_0356b
	OmyJC18ROGR_0406a
	OmyJC18ROGR_0414a
	OmyJC18ROGR_0414b
	OmyJC18ROGR_0422a
	OmyJC18ROGR_0246a
	OmyJC18ROGR_0246b
	OmyJC18ROGR_0301a
	OmyJC18ROGR_0325a
	OmyJC18ROGR_0341a
	OmyJC18ROGR_0349a
	OmyJC18ROGR_0318a
	OmyJC18ROGR_0318b
	OmyJC18ROGR_0334a
	OmyJC18ROGR_0342a
	OmyJC18ROGR_0342b
	OmyJC18ROGR_0303a
	OmyJC18ROGR_0303b
	OmyJC18ROGR_0311a
	OmyJC18ROGR_0335a
	OmyJC18ROGR_0335b
	OmyJC18ROGR_0401a
	OmyJC18ROGR_0401b
	OmyJC18ROGR_0409a
	OmyJC18ROGR_0409b
	OmyJC18ROGR_0417a
	OmyJC18ROGR_0304a
	OmyJC18ROGR_0312b
	OmyJC18ROGR_0328a
	OmyJC18ROGR_0336a
	OmyJC18ROGR_0344a
	OmyJC18ROGR_0410a
	OmyJC18ROGR_0410b
	OmyJC18ROGR_0418a
	OmyJC18ROGR_0441a
	OmyJC18ROGR_0449a
	OmyJC18ROGR_0521a
	OmyJC18ROGR_0521b
	OmyJC18ROGR_0602a
	OmyJC18ROGR_0602b
	OmyJC18ROGR_0426b
	OmyJC18ROGR_0434a
	OmyJC18ROGR_0442a
	OmyJC18ROGR_0506a
	OmyJC18ROGR_0506b
	OmyJC18ROGR_0514a
	OmyJC18ROGR_0522a
	OmyJC18ROGR_0522b
	OmyJC18ROGR_0546a
	OmyJC18ROGR_0546b
	OmyJC18ROGR_0603a
	OmyJC18ROGR_0435a
	OmyJC18ROGR_0435b
	OmyJC18ROGR_0443a
	OmyJC18ROGR_0443b
	OmyJC18ROGR_0451a
	OmyJC18ROGR_0523a
	OmyJC18ROGR_0523b
	OmyJC18ROGR_0612b
	OmyJC18ROGR_0428a
	OmyJC18ROGR_0508a
	OmyJC18ROGR_0524a
	OmyJC18ROGR_0524b
	OmyJC18ROGR_0532a
	OmyJC18ROGR_0540a
	OmyJC18ROGR_0613a
	OmyJC18ROGR_0429a
	OmyJC18ROGR_0445a
	OmyJC18ROGR_0445b
	OmyJC18ROGR_0509a
