	late-summer	early-summer	winter	halfounder
OJ19_0089b	0	0	0	1
OJ19_0002a	0	0	0	1
OJ19_0002b	0	0	0	1
OJ19_0010a	0	0	0	1
OJ19_0010b	0	0	0	1
OJ19_0018a	0	0	0	1
OJ19_0018b	0	0	0	1
OJ19_0026a	0	0	0	1
OJ19_0026b	0	0	0	1
OJ19_0034a	0	0	0	1
OJ19_0034b	0	0	0	1
OJ19_0042a	0	0	0	1
OJ19_0042b	0	0	0	1
OJ19_0058a	0	0	0	1
OJ19_0058b	0	0	0	1
OJ19_0066a	0	0	0	1
OJ19_0066b	0	0	0	1
OJ19_0074a	0	0	0	1
OJ19_0074b	0	0	0	1
OJ19_0082a	0	0	0	1
OJ19_0082b	0	0	0	1
OJ19_0090a	0	0	0	1
OJ19_0090b	0	0	0	1
OJ19_0003a	0	0	0	1
OJ19_0003b	0	0	0	1
OJ19_0011a	0	0	0	1
OJ19_0011b	0	0	0	1
OJ19_0019a	0	0	0	1
OJ19_0019b	0	0	0	1
OJ19_0027a	0	0	0	1
OJ19_0027b	0	0	0	1
OJ19_0043a	0	0	0	1
OJ19_0043b	0	0	0	1
OJ19_0051a	0	0	0	1
OJ19_0051b	0	0	0	1
OJ19_0059a	0	0	0	1
OJ19_0059b	0	0	0	1
OJ19_0067a	0	0	0	1
OJ19_0067b	0	0	0	1
OJ19_0075a	0	0	0	1
OJ19_0075b	0	0	0	1
OJ19_0083a	0	0	0	1
OJ19_0083b	0	0	0	1
OJ19_0091a	0	0	0	1
OJ19_0091b	0	0	0	1
OJ19_0004a	0	0	0	1
OJ19_0004b	0	0	0	1
OJ19_0012a	0	0	0	1
OJ19_0012b	0	0	0	1
OJ19_0020a	0	0	0	1
OJ19_0020b	0	0	0	1
OJ19_0028a	0	0	0	1
OJ19_0028b	0	0	0	1
OJ19_0036a	0	0	0	1
OJ19_0036b	0	0	0	1
OJ19_0044a	0	0	0	1
OJ19_0044b	0	0	0	1
OJ19_0052a	0	0	0	1
OJ19_0052b	0	0	0	1
OJ19_0060a	0	0	0	1
OJ19_0060b	0	0	0	1
OJ19_0068a	0	0	0	1
OJ19_0068b	0	0	0	1
OJ19_0076a	0	0	0	1
OJ19_0076b	0	0	0	1
OJ19_0084a	0	0	0	1
OJ19_0084b	0	0	0	1
OJ19_0092a	0	0	0	1
OJ19_0092b	0	0	0	1
OJ19_0005a	0	0	0	1
OJ19_0005b	0	0	0	1
OJ19_0013a	0	0	0	1
OJ19_0013b	0	0	0	1
OJ19_0021a	0	0	0	1
OJ19_0021b	0	0	0	1
OJ19_0029a	0	0	0	1
OJ19_0029b	0	0	0	1
OJ19_0037a	0	0	0	1
OJ19_0037b	0	0	0	1
OJ19_0053a	0	0	0	1
OJ19_0053b	0	0	0	1
OJ19_0061a	0	0	0	1
OJ19_0061b	0	0	0	1
OJ19_0077a	0	0	0	1
OJ19_0077b	0	0	0	1
OJ19_0085a	0	0	0	1
OJ19_0085b	0	0	0	1
OJ19_0093a	0	0	0	1
OJ19_0093b	0	0	0	1
OJ19_0014a	0	0	0	1
OJ19_0014b	0	0	0	1
OJ19_0022a	0	0	0	1
OJ19_0022b	0	0	0	1
OJ19_0038a	0	0	0	1
OJ19_0038b	0	0	0	1
OJ19_0046a	0	0	0	1
OJ19_0046b	0	0	0	1
OJ19_0054a	0	0	0	1
OJ19_0054b	0	0	0	1
OJ19_0062a	0	0	0	1
OJ19_0062b	0	0	0	1
OJ19_0078a	0	0	0	1
OJ19_0078b	0	0	0	1
OJ19_0094a	0	0	0	1
OJ19_0094b	0	0	0	1
OJ19_0007a	0	0	0	1
OJ19_0007b	0	0	0	1
OJ19_0015a	0	0	0	1
OJ19_0015b	0	0	0	1
OJ19_0023a	0	0	0	1
OJ19_0023b	0	0	0	1
OJ19_0031a	0	0	0	1
OJ19_0031b	0	0	0	1
OJ19_0047a	0	0	0	1
OJ19_0047b	0	0	0	1
OJ19_0055a	0	0	0	1
OJ19_0055b	0	0	0	1
OJ19_0063a	0	0	0	1
OJ19_0063b	0	0	0	1
OJ19_0071a	0	0	0	1
OJ19_0071b	0	0	0	1
OJ19_0079a	0	0	0	1
OJ19_0079b	0	0	0	1
OJ19_0087a	0	0	0	1
OJ19_0087b	0	0	0	1
OJ19_0008a	0	0	0	1
OJ19_0008b	0	0	0	1
OJ19_0016a	0	0	0	1
OJ19_0016b	0	0	0	1
OJ19_0024a	0	0	0	1
OJ19_0024b	0	0	0	1
OJ19_0032a	0	0	0	1
OJ19_0032b	0	0	0	1
OJ19_0040a	0	0	0	1
OJ19_0040b	0	0	0	1
OJ19_0048a	0	0	0	1
OJ19_0048b	0	0	0	1
OJ19_0056a	0	0	0	1
OJ19_0056b	0	0	0	1
OJ19_0064a	0	0	0	1
OJ19_0064b	0	0	0	1
OJ19_0072a	0	0	0	1
OJ19_0072b	0	0	0	1
OJ19_0080a	0	0	0	1
OJ19_0080b	0	0	0	1
OJ19_0095a	0	0	0	1
OJ19_0095b	0	0	0	1
OJ19_0103a	0	0	0	1
OJ19_0103b	0	0	0	1
OJ19_0111a	0	0	0	1
OJ19_0111b	0	0	0	1
OJ19_0119a	0	0	0	1
OJ19_0119b	0	0	0	1
OJ19_0127a	0	0	0	1
OJ19_0127b	0	0	0	1
OJ19_0135a	0	0	0	1
OJ19_0135b	0	0	0	1
OJ19_0139a	0	0	0	1
OJ19_0139b	0	0	0	1
OJ19_0143a	0	0	0	1
OJ19_0143b	0	0	0	1
OJ19_0151a	0	0	0	1
OJ19_0151b	0	0	0	1
OJ19_0159a	0	0	0	1
OJ19_0159b	0	0	0	1
OJ19_0167a	0	0	0	1
OJ19_0167b	0	0	0	1
OJ19_0175a	0	0	0	1
OJ19_0175b	0	0	0	1
OJ19_0183a	0	0	0	1
OJ19_0183b	0	0	0	1
OJ19_0096a	0	0	0	1
OJ19_0096b	0	0	0	1
OJ19_0104a	0	0	0	1
OJ19_0104b	0	0	0	1
OJ19_0112a	0	0	0	1
OJ19_0112b	0	0	0	1
OJ19_0120a	0	0	0	1
OJ19_0120b	0	0	0	1
OJ19_0128a	0	0	0	1
OJ19_0128b	0	0	0	1
OJ19_0136a	0	0	0	1
OJ19_0136b	0	0	0	1
OJ19_0144a	0	0	0	1
OJ19_0144b	0	0	0	1
OJ19_0152a	0	0	0	1
OJ19_0152b	0	0	0	1
OJ19_0160a	0	0	0	1
OJ19_0160b	0	0	0	1
OJ19_0168a	0	0	0	1
OJ19_0168b	0	0	0	1
OJ19_0176a	0	0	0	1
OJ19_0176b	0	0	0	1
OJ19_0184a	0	0	0	1
OJ19_0184b	0	0	0	1
OJ19_0097a	0	0	0	1
OJ19_0097b	0	0	0	1
OJ19_0105a	0	0	0	1
OJ19_0105b	0	0	0	1
OJ19_0113a	0	0	0	1
OJ19_0113b	0	0	0	1
OJ19_0121a	0	0	0	1
OJ19_0121b	0	0	0	1
OJ19_0129a	0	0	0	1
OJ19_0129b	0	0	0	1
OJ19_0137a	0	0	0	1
OJ19_0137b	0	0	0	1
OJ19_0145a	0	0	0	1
OJ19_0145b	0	0	0	1
OJ19_0153a	0	0	0	1
OJ19_0153b	0	0	0	1
OJ19_0177a	0	0	0	1
OJ19_0177b	0	0	0	1
OJ19_0185a	0	0	0	1
OJ19_0185b	0	0	0	1
OJ19_0098a	0	0	0	1
OJ19_0098b	0	0	0	1
OJ19_0106a	0	0	0	1
OJ19_0106b	0	0	0	1
OJ19_0114a	0	0	0	1
OJ19_0114b	0	0	0	1
OJ19_0122a	0	0	0	1
OJ19_0122b	0	0	0	1
OJ19_0130a	0	0	0	1
OJ19_0130b	0	0	0	1
OJ19_0138a	0	0	0	1
OJ19_0138b	0	0	0	1
OJ19_0146a	0	0	0	1
OJ19_0146b	0	0	0	1
OJ19_0154a	0	0	0	1
OJ19_0154b	0	0	0	1
OJ19_0162a	0	0	0	1
OJ19_0162b	0	0	0	1
OJ19_0178a	0	0	0	1
OJ19_0178b	0	0	0	1
OJ19_0186a	0	0	0	1
OJ19_0186b	0	0	0	1
OJ19_0099a	0	0	0	1
OJ19_0099b	0	0	0	1
OJ19_0107a	0	0	0	1
OJ19_0107b	0	0	0	1
OJ19_0115a	0	0	0	1
OJ19_0115b	0	0	0	1
OJ19_0123a	0	0	0	1
OJ19_0123b	0	0	0	1
OJ19_0131a	0	0	0	1
OJ19_0131b	0	0	0	1
OJ19_0147a	0	0	0	1
OJ19_0147b	0	0	0	1
OJ19_0155a	0	0	0	1
OJ19_0155b	0	0	0	1
OJ19_0163a	0	0	0	1
OJ19_0163b	0	0	0	1
OJ19_0171a	0	0	0	1
OJ19_0171b	0	0	0	1
OJ19_0179a	0	0	0	1
OJ19_0179b	0	0	0	1
OJ19_0187a	0	0	0	1
OJ19_0187b	0	0	0	1
OJ19_0100a	0	0	0	1
OJ19_0100b	0	0	0	1
OJ19_0116a	0	0	0	1
OJ19_0116b	0	0	0	1
OJ19_0124a	0	0	0	1
OJ19_0124b	0	0	0	1
OJ19_0132a	0	0	0	1
OJ19_0132b	0	0	0	1
OJ19_0156a	0	0	0	1
OJ19_0156b	0	0	0	1
OJ19_0172a	0	0	0	1
OJ19_0172b	0	0	0	1
OJ19_0180a	0	0	0	1
OJ19_0180b	0	0	0	1
OJ19_0188a	0	0	0	1
OJ19_0188b	0	0	0	1
OJ19_0109a	0	0	0	1
OJ19_0109b	0	0	0	1
OJ19_0117a	0	0	0	1
OJ19_0117b	0	0	0	1
OJ19_0125a	0	0	0	1
OJ19_0125b	0	0	0	1
OJ19_0133a	0	0	0	1
OJ19_0133b	0	0	0	1
OJ19_0141a	0	0	0	1
OJ19_0141b	0	0	0	1
OJ19_0149a	0	0	0	1
OJ19_0149b	0	0	0	1
OJ19_0157a	0	0	0	1
OJ19_0157b	0	0	0	1
OJ19_0165a	0	0	0	1
OJ19_0165b	0	0	0	1
OJ19_0173a	0	0	0	1
OJ19_0173b	0	0	0	1
OJ19_0181a	0	0	0	1
OJ19_0181b	0	0	0	1
OJ19_0102a	0	0	0	1
OJ19_0102b	0	0	0	1
OJ19_0110a	0	0	0	1
OJ19_0110b	0	0	0	1
OJ19_0118a	0	0	0	1
OJ19_0118b	0	0	0	1
OJ19_0126a	0	0	0	1
OJ19_0126b	0	0	0	1
OJ19_0134a	0	0	0	1
OJ19_0134b	0	0	0	1
OJ19_0142a	0	0	0	1
OJ19_0142b	0	0	0	1
OJ19_0150a	0	0	0	1
OJ19_0150b	0	0	0	1
OJ19_0158a	0	0	0	1
OJ19_0158b	0	0	0	1
OJ19_0166a	0	0	0	1
OJ19_0166b	0	0	0	1
OJ19_0174a	0	0	0	1
OJ19_0174b	0	0	0	1
OJ19_0182a	0	0	0	1
OJ19_0182b	0	0	0	1
OA19_5625a	1	0	0	0
OA19_5625b	1	0	0	0
OA19_5678a	1	0	0	0
OA19_5678b	1	0	0	0
OA19_5720a	1	0	0	0
OA19_5720b	1	0	0	0
OA19_5751a	1	0	0	0
OA19_5751b	1	0	0	0
OA19_5820a	1	0	0	0
OA19_5820b	1	0	0	0
OA19_5836a	1	0	0	0
OA19_5836b	1	0	0	0
OA19_5844a	1	0	0	0
OA19_5844b	1	0	0	0
OA19_5987a	1	0	0	0
OA19_5987b	1	0	0	0
OA19_6039a	1	0	0	0
OA19_6039b	1	0	0	0
OA19_5626a	1	0	0	0
OA19_5626b	1	0	0	0
OA19_5679a	1	0	0	0
OA19_5679b	1	0	0	0
OA19_5721a	1	0	0	0
OA19_5721b	1	0	0	0
OA19_5753a	1	0	0	0
OA19_5753b	1	0	0	0
OA19_5811a	1	0	0	0
OA19_5811b	1	0	0	0
OA19_5823a	1	0	0	0
OA19_5823b	1	0	0	0
OA19_5845a	1	0	0	0
OA19_5845b	1	0	0	0
OA19_5992a	1	0	0	0
OA19_5992b	1	0	0	0
OA19_6072a	1	0	0	0
OA19_6072b	1	0	0	0
OA19_5627a	1	0	0	0
OA19_5627b	1	0	0	0
OA19_5697a	1	0	0	0
OA19_5697b	1	0	0	0
OA19_5756a	1	0	0	0
OA19_5756b	1	0	0	0
OA19_5812a	1	0	0	0
OA19_5812b	1	0	0	0
OA19_5833a	1	0	0	0
OA19_5833b	1	0	0	0
OA19_5846a	1	0	0	0
OA19_5846b	1	0	0	0
OA19_5996a	1	0	0	0
OA19_5996b	1	0	0	0
OA19_6119a	1	0	0	0
OA19_6119b	1	0	0	0
OA19_5628a	1	0	0	0
OA19_5628b	1	0	0	0
OA19_5698a	1	0	0	0
OA19_5698b	1	0	0	0
OA19_5723a	1	0	0	0
OA19_5723b	1	0	0	0
OA19_5757a	1	0	0	0
OA19_5757b	1	0	0	0
OA19_5814a	1	0	0	0
OA19_5814b	1	0	0	0
OA19_5834a	1	0	0	0
OA19_5834b	1	0	0	0
OA19_5893a	1	0	0	0
OA19_5893b	1	0	0	0
OA19_5997a	1	0	0	0
OA19_5997b	1	0	0	0
OA19_6125a	1	0	0	0
OA19_6125b	1	0	0	0
OA19_5629a	1	0	0	0
OA19_5629b	1	0	0	0
OA19_5699a	1	0	0	0
OA19_5699b	1	0	0	0
OA19_5766a	1	0	0	0
OA19_5766b	1	0	0	0
OA19_5816a	1	0	0	0
OA19_5816b	1	0	0	0
OA19_5898a	1	0	0	0
OA19_5898b	1	0	0	0
OA19_6016a	1	0	0	0
OA19_6016b	1	0	0	0
OA19_6128a	1	0	0	0
OA19_6128b	1	0	0	0
OA19_5470a	1	0	0	0
OA19_5470b	1	0	0	0
OA19_5630a	1	0	0	0
OA19_5630b	1	0	0	0
OA19_5711a	1	0	0	0
OA19_5711b	1	0	0	0
OA19_5779a	1	0	0	0
OA19_5779b	1	0	0	0
OA19_5817a	1	0	0	0
OA19_5817b	1	0	0	0
OA19_5840a	1	0	0	0
OA19_5840b	1	0	0	0
OA19_5913a	1	0	0	0
OA19_5913b	1	0	0	0
OA19_6017a	1	0	0	0
OA19_6017b	1	0	0	0
OA19_6140a	1	0	0	0
OA19_6140b	1	0	0	0
OA19_5631a	1	0	0	0
OA19_5631b	1	0	0	0
OA19_5712a	1	0	0	0
OA19_5712b	1	0	0	0
OA19_5742a	1	0	0	0
OA19_5742b	1	0	0	0
OA19_5808a	1	0	0	0
OA19_5808b	1	0	0	0
OA19_5818a	1	0	0	0
OA19_5818b	1	0	0	0
OA19_5841a	1	0	0	0
OA19_5841b	1	0	0	0
OA19_5938a	1	0	0	0
OA19_5938b	1	0	0	0
OA19_6024a	1	0	0	0
OA19_6024b	1	0	0	0
OA19_6155a	1	0	0	0
OA19_6155b	1	0	0	0
OA19_5666a	1	0	0	0
OA19_5666b	1	0	0	0
OA19_5713a	1	0	0	0
OA19_5713b	1	0	0	0
OA19_5750a	1	0	0	0
OA19_5750b	1	0	0	0
OA19_5809a	1	0	0	0
OA19_5809b	1	0	0	0
OA19_5819a	1	0	0	0
OA19_5819b	1	0	0	0
OA19_5842a	1	0	0	0
OA19_5842b	1	0	0	0
OA19_5961a	1	0	0	0
OA19_5961b	1	0	0	0
OA19_6033a	1	0	0	0
OA19_6033b	1	0	0	0
OA19_0053a	1	0	0	0
OA19_0053b	1	0	0	0
OA19_5810a	1	0	0	0
OA19_5810b	1	0	0	0
OJ18_0101a	0	0	0	1
OJ18_0101b	0	0	0	1
OJ18_0109a	0	0	0	1
OJ18_0109b	0	0	0	1
OJ18_0117a	0	0	0	1
OJ18_0117b	0	0	0	1
OJ18_0125a	0	0	0	1
OJ18_0125b	0	0	0	1
OJ18_0133a	0	0	0	1
OJ18_0133b	0	0	0	1
OJ18_0141a	0	0	0	1
OJ18_0141b	0	0	0	1
OJ18_0149a	0	0	0	1
OJ18_0149b	0	0	0	1
OJ18_0204a	0	0	0	1
OJ18_0204b	0	0	0	1
OJ18_0212a	0	0	0	1
OJ18_0212b	0	0	0	1
OJ18_0220a	0	0	0	1
OJ18_0220b	0	0	0	1
OJ18_0228a	0	0	0	1
OJ18_0228b	0	0	0	1
OJ18_0236a	0	0	0	1
OJ18_0236b	0	0	0	1
OJ18_0102a	0	0	0	1
OJ18_0102b	0	0	0	1
OJ18_0110a	0	0	0	1
OJ18_0110b	0	0	0	1
OJ18_0118a	0	0	0	1
OJ18_0118b	0	0	0	1
OJ18_0126a	0	0	0	1
OJ18_0126b	0	0	0	1
OJ18_0134a	0	0	0	1
OJ18_0134b	0	0	0	1
OJ18_0142a	0	0	0	1
OJ18_0142b	0	0	0	1
OJ18_0205a	0	0	0	1
OJ18_0205b	0	0	0	1
OJ18_0213a	0	0	0	1
OJ18_0213b	0	0	0	1
OJ18_0221a	0	0	0	1
OJ18_0221b	0	0	0	1
OJ18_0229a	0	0	0	1
OJ18_0229b	0	0	0	1
OJ18_0237a	0	0	0	1
OJ18_0237b	0	0	0	1
OJ18_0103a	0	0	0	1
OJ18_0103b	0	0	0	1
OJ18_0111a	0	0	0	1
OJ18_0111b	0	0	0	1
OJ18_0127a	0	0	0	1
OJ18_0127b	0	0	0	1
OJ18_0135a	0	0	0	1
OJ18_0135b	0	0	0	1
OJ18_0143a	0	0	0	1
OJ18_0143b	0	0	0	1
OJ18_0151a	0	0	0	1
OJ18_0151b	0	0	0	1
OJ18_0206a	0	0	0	1
OJ18_0206b	0	0	0	1
OJ18_0214a	0	0	0	1
OJ18_0214b	0	0	0	1
OJ18_0222a	0	0	0	1
OJ18_0222b	0	0	0	1
OJ18_0238a	0	0	0	1
OJ18_0238b	0	0	0	1
OJ18_0104a	0	0	0	1
OJ18_0104b	0	0	0	1
OJ18_0112a	0	0	0	1
OJ18_0112b	0	0	0	1
OJ18_0120a	0	0	0	1
OJ18_0120b	0	0	0	1
OJ18_0128a	0	0	0	1
OJ18_0128b	0	0	0	1
OJ18_0136a	0	0	0	1
OJ18_0136b	0	0	0	1
OJ18_0144a	0	0	0	1
OJ18_0144b	0	0	0	1
OJ18_0152a	0	0	0	1
OJ18_0152b	0	0	0	1
OJ18_0215a	0	0	0	1
OJ18_0215b	0	0	0	1
OJ18_0223a	0	0	0	1
OJ18_0223b	0	0	0	1
OJ18_0231a	0	0	0	1
OJ18_0231b	0	0	0	1
OJ18_0239a	0	0	0	1
OJ18_0239b	0	0	0	1
OJ18_0105a	0	0	0	1
OJ18_0105b	0	0	0	1
OJ18_0113a	0	0	0	1
OJ18_0113b	0	0	0	1
OJ18_0121a	0	0	0	1
OJ18_0121b	0	0	0	1
OJ18_0129a	0	0	0	1
OJ18_0129b	0	0	0	1
OJ18_0145a	0	0	0	1
OJ18_0145b	0	0	0	1
OJ18_0208a	0	0	0	1
OJ18_0208b	0	0	0	1
OJ18_0216a	0	0	0	1
OJ18_0216b	0	0	0	1
OJ18_0224a	0	0	0	1
OJ18_0224b	0	0	0	1
OJ18_0232a	0	0	0	1
OJ18_0232b	0	0	0	1
OJ18_0240a	0	0	0	1
OJ18_0240b	0	0	0	1
OJ18_0106a	0	0	0	1
OJ18_0106b	0	0	0	1
OJ18_0114a	0	0	0	1
OJ18_0114b	0	0	0	1
OJ18_0122a	0	0	0	1
OJ18_0122b	0	0	0	1
OJ18_0201a	0	0	0	1
OJ18_0201b	0	0	0	1
OJ18_0209a	0	0	0	1
OJ18_0209b	0	0	0	1
OJ18_0217a	0	0	0	1
