pop	clust1	clust2
halfpounder	0.3371	0.6629
halfpounder	0.3131	0.6869
halfpounder	0.5599	0.4401
halfpounder	0.4321	0.5679
halfpounder	0.7724	0.2276
halfpounder	0.4779	0.5221
halfpounder	0.6352	0.3648
halfpounder	0.5193	0.4807
halfpounder	0.5695	0.4305
halfpounder	0.2242	0.7758
halfpounder	0.3555	0.6445
halfpounder	0.1806	0.8194
halfpounder	0.6293	0.3707
halfpounder	0.6418	0.3582
halfpounder	0.4482	0.5518
halfpounder	0.5057	0.4943
halfpounder	0.5300	0.4700
halfpounder	0.4498	0.5502
halfpounder	0.1588	0.8412
halfpounder	0.2839	0.7161
halfpounder	0.6358	0.3642
halfpounder	0.5546	0.4454
halfpounder	0.5662	0.4338
halfpounder	0.6051	0.3949
halfpounder	0.5508	0.4492
halfpounder	0.4175	0.5825
halfpounder	0.7258	0.2742
halfpounder	0.6274	0.3726
halfpounder	0.6053	0.3947
halfpounder	0.1648	0.8352
halfpounder	0.4734	0.5266
halfpounder	0.2832	0.7168
halfpounder	0.3720	0.6280
halfpounder	0.5047	0.4953
halfpounder	0.5018	0.4982
halfpounder	0.5423	0.4577
halfpounder	0.5272	0.4728
halfpounder	0.5086	0.4914
halfpounder	0.4956	0.5044
halfpounder	0.5665	0.4335
halfpounder	0.4803	0.5197
halfpounder	0.5093	0.4907
fall	0.5247	0.4753
fall	0.3431	0.6569
fall	0.5430	0.4570
fall	0.4575	0.5425
fall	0.4633	0.5367
fall	0.5607	0.4393
fall	0.5482	0.4518
fall	0.5803	0.4197
fall	0.6473	0.3527
fall	0.4160	0.5840
fall	0.4774	0.5226
fall	0.4676	0.5324
fall	0.5575	0.4425
fall	0.3553	0.6447
fall	0.4479	0.5521
fall	0.6849	0.3151
fall	0.2795	0.7205
fall	0.5508	0.4492
fall	0.5422	0.4578
fall	0.4476	0.5524
fall	0.4336	0.5664
fall	0.4739	0.5261
fall	0.4242	0.5758
fall	0.5735	0.4265
fall	0.4634	0.5366
fall	0.5106	0.4894
fall	0.6297	0.3703
fall	0.6029	0.3971
fall	0.6585	0.3415
fall	0.1287	0.8713
fall	0.2966	0.7034
fall	0.5210	0.4790
fall	0.1557	0.8443
fall	0.3671	0.6329
fall	0.4862	0.5138
fall	0.5914	0.4086
fall	0.3878	0.6122
fall	0.6017	0.3983
fall	0.6456	0.3544
fall	0.2859	0.7141
fall	0.5892	0.4108
fall	0.4543	0.5457
fall	0.5369	0.4631
fall	0.2003	0.7997
fall	0.3115	0.6885
fall	0.5392	0.4608
fall	0.4129	0.5871
fall	0.5661	0.4339
fall	0.3113	0.6887
fall	0.6188	0.3812
fall	0.4725	0.5275
fall	0.2365	0.7635
fall	0.4088	0.5912
fall	0.2869	0.7131
fall	0.5445	0.4555
fall	0.5630	0.4370
fall	0.5112	0.4888
fall	0.4624	0.5376
fall	0.6098	0.3902
fall	0.6269	0.3731
fall	0.7116	0.2884
fall	0.7159	0.2841
fall	0.7269	0.2731
fall	0.6361	0.3639
fall	0.3772	0.6228
fall	0.5573	0.4427
fall	0.6469	0.3531
fall	0.4215	0.5785
fall	0.5874	0.4126
fall	0.5954	0.4046
fall	0.6347	0.3653
fall	0.4864	0.5136
fall	0.4701	0.5299
fall	0.2960	0.7040
fall	0.4594	0.5406
fall	0.4351	0.5649
fall	0.5236	0.4764
fall	0.6317	0.3683
fall	0.4524	0.5476
fall	0.3440	0.6560
fall	0.4921	0.5079
fall	0.5415	0.4585
fall	0.5389	0.4611
fall	0.6054	0.3946
fall	0.4565	0.5435
fall	0.6144	0.3856
fall	0.4184	0.5816
fall	0.4257	0.5743
fall	0.4010	0.5990
fall	0.4551	0.5449
fall	0.4988	0.5012
fall	0.6298	0.3702
fall	0.5630	0.4370
fall	0.5234	0.4766
fall	0.5971	0.4029
fall	0.5048	0.4952
fall	0.4037	0.5963
fall	0.5260	0.4740
fall	0.4353	0.5647
fall	0.5695	0.4305
fall	0.5991	0.4009
fall	0.3587	0.6413
fall	0.4398	0.5602
fall	0.6515	0.3485
fall	0.4894	0.5106
fall	0.3652	0.6348
fall	0.5675	0.4325
fall	0.6302	0.3698
fall	0.6759	0.3241
fall	0.5283	0.4717
fall	0.5671	0.4329
fall	0.4176	0.5824
fall	0.2706	0.7294
fall	0.2302	0.7698
fall	0.2071	0.7929
fall	0.2934	0.7066
fall	0.6819	0.3181
fall	0.4896	0.5104
fall	0.4484	0.5516
fall	0.6617	0.3383
fall	0.6744	0.3256
fall	0.3365	0.6635
fall	0.6331	0.3669
fall	0.4837	0.5163
fall	0.1959	0.8041
fall	0.4577	0.5423
fall	0.3815	0.6185
fall	0.4412	0.5588
fall	0.3842	0.6158
fall	0.3400	0.6600
fall	0.3449	0.6551
fall	0.5833	0.4167
fall	0.7674	0.2326
fall	0.3300	0.6700
fall	0.3643	0.6357
fall	0.5126	0.4874
fall	0.4658	0.5342
fall	0.5448	0.4552
fall	0.5199	0.4801
fall	0.4293	0.5707
fall	0.3006	0.6994
fall	0.4130	0.5870
fall	0.4708	0.5292
fall	0.2521	0.7479
fall	0.7344	0.2656
fall	0.4822	0.5178
fall	0.6930	0.3070
fall	0.3858	0.6142
fall	0.5853	0.4147
fall	0.5642	0.4358
fall	0.5073	0.4927
fall	0.5775	0.4225
fall	0.2013	0.7987
fall	0.2826	0.7174
fall	0.4411	0.5589
fall	0.4999	0.5001
fall	0.3848	0.6152
fall	0.5961	0.4039
fall	0.5707	0.4293
fall	0.6743	0.3257
fall	0.4427	0.5573
fall	0.3500	0.6500
fall	0.6159	0.3841
fall	0.5241	0.4759
fall	0.1822	0.8178
fall	0.5765	0.4235
fall	0.6817	0.3183
fall	0.2055	0.7945
fall	0.5609	0.4391
fall	0.5291	0.4709
fall	0.2195	0.7805
fall	0.6809	0.3191
fall	0.5396	0.4604
fall	0.3080	0.6920
fall	0.1832	0.8168
fall	0.2610	0.7390
fall	0.3611	0.6389
fall	0.5595	0.4405
fall	0.5167	0.4833
fall	0.2777	0.7223
fall	0.3486	0.6514
fall	0.4703	0.5297
fall	0.3034	0.6966
fall	0.6493	0.3507
fall	0.5093	0.4907
fall	0.6131	0.3869
fall	0.3911	0.6089
fall	0.4750	0.5250
halfpounder	0.4161	0.5839
halfpounder	0.5028	0.4972
halfpounder	0.5131	0.4869
halfpounder	0.3227	0.6773
halfpounder	0.2970	0.7030
halfpounder	0.2117	0.7883
halfpounder	0.4092	0.5908
halfpounder	0.7006	0.2994
halfpounder	0.2462	0.7538
halfpounder	0.5147	0.4853
halfpounder	0.1956	0.8044
halfpounder	0.4759	0.5241
halfpounder	0.5177	0.4823
halfpounder	0.6886	0.3114
halfpounder	0.4590	0.5410
halfpounder	0.3731	0.6269
halfpounder	0.4224	0.5776
halfpounder	0.2383	0.7617
halfpounder	0.6861	0.3139
halfpounder	0.5479	0.4521
halfpounder	0.4681	0.5319
halfpounder	0.5631	0.4369
halfpounder	0.4736	0.5264
halfpounder	0.2074	0.7926
halfpounder	0.3231	0.6769
halfpounder	0.4530	0.5470
halfpounder	0.5275	0.4725
halfpounder	0.6521	0.3479
halfpounder	0.6449	0.3551
halfpounder	0.3600	0.6400
halfpounder	0.5869	0.4131
halfpounder	0.4672	0.5328
halfpounder	0.5885	0.4115
halfpounder	0.6331	0.3669
halfpounder	0.5111	0.4889
halfpounder	0.5436	0.4564
halfpounder	0.7146	0.2854
halfpounder	0.6360	0.3640
halfpounder	0.5774	0.4226
halfpounder	0.3653	0.6347
halfpounder	0.3632	0.6368
halfpounder	0.5124	0.4876
halfpounder	0.5798	0.4202
halfpounder	0.6286	0.3714
halfpounder	0.5080	0.4920
halfpounder	0.5544	0.4456
halfpounder	0.6977	0.3023
halfpounder	0.4832	0.5168
halfpounder	0.2256	0.7744
halfpounder	0.4142	0.5858
halfpounder	0.5419	0.4581
halfpounder	0.7026	0.2974
halfpounder	0.4730	0.5270
halfpounder	0.6087	0.3913
halfpounder	0.5954	0.4046
halfpounder	0.3470	0.6530
halfpounder	0.4747	0.5253
halfpounder	0.6098	0.3902
halfpounder	0.4331	0.5669
halfpounder	0.4308	0.5692
halfpounder	0.5869	0.4131
halfpounder	0.5062	0.4938
halfpounder	0.4961	0.5039
halfpounder	0.1685	0.8315
halfpounder	0.5178	0.4822
halfpounder	0.4954	0.5046
halfpounder	0.2407	0.7593
halfpounder	0.3915	0.6085
halfpounder	0.4001	0.5999
halfpounder	0.5579	0.4421
halfpounder	0.4839	0.5161
halfpounder	0.3550	0.6450
halfpounder	0.5657	0.4343
halfpounder	0.5851	0.4149
halfpounder	0.4731	0.5269
halfpounder	0.5286	0.4714
halfpounder	0.4954	0.5046
halfpounder	0.5453	0.4547
halfpounder	0.5347	0.4653
halfpounder	0.5778	0.4222
halfpounder	0.5311	0.4689
halfpounder	0.5759	0.4241
halfpounder	0.6188	0.3812
halfpounder	0.5778	0.4222
halfpounder	0.6322	0.3678
halfpounder	0.4429	0.5571
halfpounder	0.6664	0.3336
halfpounder	0.7197	0.2803
halfpounder	0.5894	0.4106
halfpounder	0.5770	0.4230
halfpounder	0.6424	0.3576
halfpounder	0.7058	0.2942
halfpounder	0.5724	0.4276
halfpounder	0.6006	0.3994
halfpounder	0.5496	0.4504
halfpounder	0.5618	0.4382
halfpounder	0.4324	0.5676
halfpounder	0.5494	0.4506
halfpounder	0.5911	0.4089
halfpounder	0.3302	0.6698
halfpounder	0.6730	0.3270
halfpounder	0.4747	0.5253
halfpounder	0.4671	0.5329
halfpounder	0.5088	0.4912
halfpounder	0.3389	0.6611
halfpounder	0.6048	0.3952
halfpounder	0.4781	0.5219
halfpounder	0.5679	0.4321
halfpounder	0.6090	0.3910
halfpounder	0.6072	0.3928
halfpounder	0.5455	0.4545
halfpounder	0.4392	0.5608
halfpounder	0.3808	0.6192
halfpounder	0.5890	0.4110
halfpounder	0.5016	0.4984
halfpounder	0.6794	0.3206
halfpounder	0.5011	0.4989
halfpounder	0.5755	0.4245
halfpounder	0.5450	0.4550
halfpounder	0.5048	0.4952
halfpounder	0.4741	0.5259
halfpounder	0.5964	0.4036
halfpounder	0.4646	0.5354
halfpounder	0.6783	0.3217
halfpounder	0.5695	0.4305
halfpounder	0.5413	0.4587
halfpounder	0.6042	0.3958
halfpounder	0.3653	0.6347
halfpounder	0.4747	0.5253
halfpounder	0.6621	0.3379
halfpounder	0.5221	0.4779
halfpounder	0.1806	0.8194
halfpounder	0.5694	0.4306
halfpounder	0.2755	0.7245
halfpounder	0.6653	0.3347
halfpounder	0.5855	0.4145
halfpounder	0.6687	0.3313
halfpounder	0.5982	0.4018
halfpounder	0.5780	0.4220
halfpounder	0.4843	0.5157
halfpounder	0.6862	0.3138
halfpounder	0.1439	0.8561
halfpounder	0.4384	0.5616
halfpounder	0.5499	0.4501
halfpounder	0.7678	0.2322
halfpounder	0.5931	0.4069
halfpounder	0.5558	0.4442
halfpounder	0.4785	0.5215
halfpounder	0.6087	0.3913
halfpounder	0.4676	0.5324
halfpounder	0.5283	0.4717
halfpounder	0.5254	0.4746
halfpounder	0.5934	0.4066
halfpounder	0.5004	0.4996
halfpounder	0.5400	0.4600
halfpounder	0.7197	0.2803
halfpounder	0.4598	0.5402
halfpounder	0.6482	0.3518
halfpounder	0.6396	0.3604
halfpounder	0.6233	0.3767
halfpounder	0.4862	0.5138
halfpounder	0.5819	0.4181
halfpounder	0.6507	0.3493
halfpounder	0.6130	0.3870
halfpounder	0.2455	0.7545
