pop	clust1	clust2	clust3
halfpounder	0.3918	0.1008	0.5074
halfpounder	0.5941	0.1961	0.2098
halfpounder	0.2978	0.2891	0.4132
halfpounder	0.5089	0.2230	0.2681
halfpounder	0.0840	0.8597	0.0563
halfpounder	0.4248	0.2477	0.3275
halfpounder	0.5039	0.1429	0.3532
halfpounder	0.1650	0.4370	0.3981
halfpounder	0.0982	0.8146	0.0872
halfpounder	0.6213	0.1288	0.2499
halfpounder	0.6461	0.1263	0.2276
halfpounder	0.2051	0.3751	0.4198
halfpounder	0.1429	0.0689	0.7882
halfpounder	0.5119	0.1582	0.3299
halfpounder	0.5653	0.1585	0.2762
halfpounder	0.0929	0.8092	0.0978
halfpounder	0.5599	0.2400	0.2001
halfpounder	0.2787	0.2080	0.5133
halfpounder	0.3095	0.1589	0.5316
halfpounder	0.1154	0.7157	0.1689
halfpounder	0.6740	0.0810	0.2450
halfpounder	0.2608	0.4388	0.3005
halfpounder	0.6593	0.1592	0.1814
halfpounder	0.4931	0.1424	0.3646
halfpounder	0.2790	0.4372	0.2837
halfpounder	0.2482	0.2298	0.5220
halfpounder	0.4812	0.1916	0.3272
halfpounder	0.6201	0.1092	0.2707
halfpounder	0.1650	0.3703	0.4648
halfpounder	0.2516	0.0811	0.6673
halfpounder	0.1610	0.7615	0.0775
halfpounder	0.7588	0.1238	0.1174
halfpounder	0.4486	0.1565	0.3950
halfpounder	0.0877	0.7920	0.1203
halfpounder	0.3930	0.0920	0.5150
halfpounder	0.3274	0.3498	0.3229
halfpounder	0.3365	0.0921	0.5714
halfpounder	0.3272	0.0877	0.5851
halfpounder	0.5605	0.1319	0.3076
halfpounder	0.3920	0.2469	0.3612
halfpounder	0.3027	0.3016	0.3958
halfpounder	0.0699	0.8715	0.0586
halfpounder	0.1651	0.5158	0.3191
halfpounder	0.3880	0.1731	0.4389
halfpounder	0.2338	0.4822	0.2840
halfpounder	0.0981	0.8465	0.0554
halfpounder	0.2445	0.2867	0.4688
halfpounder	0.1119	0.3531	0.5350
halfpounder	0.5629	0.2469	0.1902
halfpounder	0.1943	0.3026	0.5031
halfpounder	0.5649	0.0969	0.3382
halfpounder	0.1557	0.5665	0.2778
halfpounder	0.1891	0.6472	0.1638
halfpounder	0.5185	0.1971	0.2844
halfpounder	0.2211	0.4051	0.3738
halfpounder	0.2410	0.0565	0.7025
halfpounder	0.1757	0.3182	0.5061
halfpounder	0.5031	0.1297	0.3672
halfpounder	0.2652	0.2802	0.4546
halfpounder	0.5166	0.2042	0.2792
halfpounder	0.0656	0.7532	0.1812
halfpounder	0.4170	0.4825	0.1005
halfpounder	0.0892	0.8361	0.0747
halfpounder	0.4180	0.1419	0.4401
halfpounder	0.4486	0.1324	0.4190
halfpounder	0.2706	0.3691	0.3603
halfpounder	0.2438	0.2985	0.4578
halfpounder	0.2911	0.2624	0.4464
halfpounder	0.2391	0.3799	0.3810
halfpounder	0.0693	0.8677	0.0630
