pop	clust1	clust2	clust3	clust4
halfpounder	0.6657	0.0406	0.1287	0.1650
halfpounder	0.3285	0.0750	0.2729	0.3236
halfpounder	0.1109	0.0887	0.6765	0.1239
halfpounder	0.4858	0.1362	0.1479	0.2302
halfpounder	0.1723	0.2304	0.2799	0.3174
halfpounder	0.0847	0.6782	0.1580	0.0790
halfpounder	0.1502	0.0476	0.3402	0.4620
halfpounder	0.1664	0.1410	0.1147	0.5779
halfpounder	0.2163	0.1936	0.1187	0.4714
halfpounder	0.1551	0.4906	0.1971	0.1571
halfpounder	0.5109	0.1765	0.1288	0.1839
halfpounder	0.1466	0.0351	0.5450	0.2733
halfpounder	0.2632	0.0567	0.2480	0.4321
halfpounder	0.2018	0.1401	0.3486	0.3095
halfpounder	0.1361	0.2477	0.5091	0.1072
halfpounder	0.1313	0.0781	0.6903	0.1003
halfpounder	0.3684	0.0641	0.3301	0.2373
halfpounder	0.5331	0.1024	0.1136	0.2509
halfpounder	0.2213	0.1533	0.0857	0.5398
halfpounder	0.3737	0.0589	0.4689	0.0986
halfpounder	0.1981	0.1104	0.5777	0.1137
halfpounder	0.1831	0.1298	0.4307	0.2564
halfpounder	0.2362	0.0824	0.1036	0.5778
halfpounder	0.4226	0.1250	0.2829	0.1694
halfpounder	0.2810	0.2850	0.1450	0.2890
halfpounder	0.5016	0.0282	0.3204	0.1499
halfpounder	0.5805	0.0585	0.1592	0.2018
halfpounder	0.2293	0.1442	0.2338	0.3927
halfpounder	0.1340	0.0463	0.6989	0.1207
halfpounder	0.2949	0.2852	0.2908	0.1292
halfpounder	0.1734	0.1344	0.5293	0.1628
halfpounder	0.2293	0.0360	0.4225	0.3122
halfpounder	0.4510	0.0471	0.2860	0.2159
halfpounder	0.4583	0.1016	0.1139	0.3263
halfpounder	0.2697	0.1770	0.3429	0.2104
halfpounder	0.2549	0.1335	0.1768	0.4347
halfpounder	0.0456	0.8794	0.0297	0.0453
halfpounder	0.3867	0.1303	0.1803	0.3026
halfpounder	0.4516	0.0677	0.2295	0.2512
halfpounder	0.1421	0.3239	0.3726	0.1614
halfpounder	0.0601	0.8286	0.0503	0.0610
halfpounder	0.3059	0.0527	0.1297	0.5116
halfpounder	0.5419	0.0566	0.1000	0.3015
halfpounder	0.1255	0.2644	0.3574	0.2528
halfpounder	0.1588	0.0300	0.7388	0.0724
halfpounder	0.2236	0.0756	0.2083	0.4926
halfpounder	0.3606	0.0743	0.1390	0.4262
halfpounder	0.0543	0.8343	0.0564	0.0550
halfpounder	0.4037	0.1223	0.1121	0.3619
halfpounder	0.1315	0.1127	0.4543	0.3015
halfpounder	0.3075	0.0790	0.3694	0.2441
halfpounder	0.0871	0.7274	0.1028	0.0827
halfpounder	0.1374	0.0326	0.1140	0.7161
halfpounder	0.2015	0.3666	0.2102	0.2217
halfpounder	0.6370	0.0709	0.0731	0.2190
halfpounder	0.3783	0.0711	0.2151	0.3355
halfpounder	0.3196	0.3383	0.1767	0.1653
halfpounder	0.1995	0.1277	0.4758	0.1970
halfpounder	0.5843	0.0959	0.1576	0.1623
halfpounder	0.3233	0.0524	0.1608	0.4635
halfpounder	0.1324	0.2636	0.4689	0.1350
halfpounder	0.1673	0.0364	0.5802	0.2161
halfpounder	0.1004	0.7699	0.0413	0.0884
halfpounder	0.5876	0.0574	0.0490	0.3061
halfpounder	0.3014	0.0736	0.2504	0.3746
halfpounder	0.0603	0.8118	0.0742	0.0537
halfpounder	0.2009	0.0417	0.3370	0.4204
halfpounder	0.3041	0.2544	0.2253	0.2163
halfpounder	0.2423	0.0414	0.3953	0.3209
halfpounder	0.3697	0.0407	0.4234	0.1661
halfpounder	0.6720	0.0595	0.1115	0.1569
halfpounder	0.3437	0.1439	0.2229	0.2896
halfpounder	0.2642	0.1936	0.3182	0.2240
halfpounder	0.0326	0.8802	0.0361	0.0511
halfpounder	0.0954	0.4523	0.3023	0.1501
halfpounder	0.2086	0.0774	0.3108	0.4032
halfpounder	0.1320	0.3891	0.2279	0.2510
